id,date,sale,city
100,2024-01-21,4002,Suva
101,2024-06-05,5983,Alor Star
102,2024-03-19,6643,Adak
103,2024-02-13,5027,Palikir
104,2024-04-20,3667,Mexicali
105,2024-04-24,5517,Alofi
106,2024-03-09,8122,Anadyr (town)
107,2024-06-01,5903,Kaliningrad
108,2024-06-28,8063,Lahore
109,2024-06-12,6885,Rome
110,2024-06-20,8986,Tirana
111,2024-06-04,8616,Nanning
112,2024-06-23,8863,Brasília
113,2024-06-11,6147,Tashkent
114,2024-02-08,3080,Mogadishu
115,2024-01-06,5339,Adamstown
116,2024-06-21,4842,Pretoria
117,2024-01-05,4245,Hamilton
118,2024-04-17,5509,Canberra
119,2024-06-14,9974,Islamabad
120,2024-01-02,9808,Medan
121,2024-04-25,4413,Iqaluit
122,2024-04-08,7900,New Delhi
123,2024-01-30,5378,Monterrey
124,2024-03-15,4257,Mecca
125,2024-05-09,7016,Manzini
126,2024-02-01,5732,Malabo
127,2024-01-23,3142,Bursa
128,2024-05-19,2403,Darwin
129,2024-06-06,4338,Vilnius
130,2024-02-17,7953,Jayapura
131,2024-05-21,6940,Kaohsiung
132,2024-04-15,6759,Kiev
133,2024-03-24,7365,Portland
134,2024-01-22,4286,Ipoh
135,2024-03-18,7518,Ambon
136,2024-04-20,6744,Dar es Salaam
137,2024-02-05,3897,Stepanakert
138,2024-05-13,2422,Dublin
139,2024-06-09,3606,Bucharest
140,2024-03-01,7083,Bangalore
141,2024-01-11,6001,Managua
142,2024-05-16,3030,Algiers
143,2024-01-17,7191,Johor Bahru
144,2024-06-24,4512,Córdoba
145,2024-03-08,4650,Leeds
146,2024-01-14,2655,Kinshasa
147,2024-03-10,2638,Las Palmas de Gran Canaria
148,2024-01-19,5467,Split (city)
149,2024-03-06,8298,San Salvador
150,2024-02-12,6033,Ludhiana
151,2024-05-25,4740,Lagos
152,2024-04-24,9053,El Aaiún
153,2024-05-29,3856,Budapest
154,2024-06-28,9869,Bilbao
155,2024-06-12,5258,Port of Spain
156,2024-06-20,9209,Rio de Janeiro
157,2024-06-04,7025,Nakhon Ratchasima
158,2024-02-27,7790,Colombo
159,2024-01-13,8602,Osaka
160,2024-05-26,2480,Malé
161,2024-01-20,8303,Sukhumi
162,2024-04-22,6582,Basse-Terre
163,2024-01-12,4293,Ibadan
164,2024-06-18,7704,Oranjestad
165,2024-06-02,7868,Kingston
166,2024-06-14,8930,Brazzaville
167,2024-06-05,3186,Iquique
168,2024-06-23,8111,Chişinău
169,2024-01-03,6273,Santiago
170,2024-01-25,2265,Adelaide
171,2024-02-14,8310,Auckland
172,2024-03-02,8826,Oklahoma City
173,2024-04-03,5814,Baltimore
174,2024-02-06,7970,Santiago
175,2024-04-21,5691,Canberra
176,2024-06-08,9269,Malmö
177,2024-04-12,3603,Riyadh
178,2024-04-11,8698,Kaesong
179,2024-02-03,4283,Srinagar
180,2024-05-03,7856,Phuket (city)
181,2024-03-30,3693,Port Elizabeth
182,2024-04-29,3460,Barcelona
183,2024-01-04,5282,Bishkek
184,2024-06-12,4847,Leeds
185,2024-03-14,2250,Cayenne
186,2024-03-27,8749,Virginia Beach
187,2024-04-20,8833,Nanning
188,2024-04-24,4251,Monterrey
189,2024-03-09,6845,Córdoba
190,2024-05-14,7946,Belém
191,2024-03-05,6561,Birkirkara
192,2024-04-17,4876,Doha
193,2024-06-14,8883,Brazzaville
194,2024-01-02,2496,Damascus
195,2024-04-25,6287,Canberra
196,2024-04-08,4020,Singapore
197,2024-01-30,8545,Edinburgh
198,2024-03-15,3377,Manila
199,2024-05-09,6412,Colombo
200,2024-04-27,3242,Monrovia
201,2024-06-18,7002,Santiago
202,2024-06-02,10000,St. Louis
203,2024-06-14,6929,Washington
204,2024-06-05,2541,Rochester
205,2024-06-23,9828,Santiago
206,2024-01-08,6587,Athens
207,2024-06-10,5289,Kolkata
208,2024-06-02,5131,Quebec City
209,2024-06-19,5516,Bissau
210,2024-04-06,7763,Prague
211,2024-04-14,4630,Pretoria
212,2024-06-28,6457,Denpasar
213,2024-06-12,3666,Yaren District
214,2024-06-20,8661,Lima
215,2024-06-04,2459,Xining
216,2024-05-31,2858,Ndola
217,2024-05-06,6223,Agartala
218,2024-03-11,5276,Kansas City
219,2024-04-18,7572,Forked River
220,2024-06-18,8543,Belém
221,2024-06-02,6519,Kingstown
222,2024-06-14,6358,Brikama
223,2024-06-05,8930,Gothenburg
224,2024-06-23,6896,Mendoza
225,2024-03-23,4756,Dededo
226,2024-06-07,7733,Cairo
227,2024-02-16,3883,Rio de Janeiro
228,2024-03-12,5541,Yellowknife
229,2024-02-26,7536,Tucson
230,2024-06-28,8752,Fredericton
231,2024-02-22,9974,Nukuʻalofa
232,2024-05-14,3949,St. Louis
233,2024-05-21,2718,Vientiane
234,2024-04-15,6485,Sana'a
235,2024-03-24,2973,New Delhi
236,2024-01-22,7420,Lahore
237,2024-03-18,3606,Edmonton
238,2024-04-20,9180,Melekeok
239,2024-04-19,7442,Brikama
240,2024-01-10,4261,Mecca
241,2024-01-27,4719,Yangon
242,2024-04-02,7580,Toronto
243,2024-06-16,8259,Oslo
244,2024-06-18,5660,Milwaukee
245,2024-06-02,3734,Naypyidaw
246,2024-06-14,3016,Yogyakarta (city)
247,2024-06-05,7323,Lagos
248,2024-06-23,7540,Hanover
249,2024-03-29,3989,Boston
250,2024-05-01,7610,Kawasaki
251,2024-02-20,8509,Sydney
252,2024-03-04,5068,Anadyr (town)
253,2024-05-27,5532,Greenwich
254,2024-05-24,7472,Cuiabá
255,2024-06-28,7267,Harbin
256,2024-06-12,2498,Memphis
257,2024-06-20,8515,Papeete
258,2024-06-04,9539,Longyearbyen
259,2024-06-04,6929,Vatican City
260,2024-01-01,3127,Málaga
261,2024-05-18,6610,Kuala Lumpur
262,2024-05-15,8485,Tampa
263,2024-03-29,5368,Kolkata
264,2024-05-01,2269,Saint John
265,2024-06-28,2280,Malang
266,2024-06-12,3298,Nakhon Ratchasima
267,2024-06-20,3536,Stepanakert
268,2024-06-04,6871,Puebla
269,2024-06-28,8590,Namangan
270,2024-06-12,3196,Skopje
271,2024-06-20,3734,Tskhinvali
272,2024-06-04,8886,Las Palmas de Gran Canaria
273,2024-01-22,4305,Xining
274,2024-03-18,5392,Adelaide
275,2024-06-18,5118,South Tarawa
276,2024-06-02,5325,Munich
277,2024-06-14,3388,Djibouti (city)
278,2024-06-05,7978,Lagos
279,2024-06-23,2669,Invercargill
280,2024-03-21,3671,Guwahati
281,2024-02-25,6544,Brisbane
282,2024-04-18,8087,Regina
283,2024-06-05,9647,Tijuana
284,2024-01-01,7866,Chicago
285,2024-05-15,6810,Córdoba
286,2024-06-02,2187,Accra
287,2024-03-19,9618,Belfast
288,2024-04-16,6948,Addis Ababa
289,2024-02-09,9515,Punta Arenas
290,2024-02-19,4407,Ho Chi Minh City
291,2024-04-20,3561,Suva
292,2024-04-24,4881,Samara
293,2024-03-09,7657,Phnom Penh
294,2024-04-27,5496,Francistown
295,2024-05-02,6072,Amritsar
296,2024-04-30,3547,Longyearbyen
297,2024-05-10,8138,Ürümqi
298,2024-05-11,9277,Okinawa
299,2024-06-25,8564,Port Elizabeth
300,2024-01-26,8328,Auckland
301,2024-04-20,9954,Pittsburgh
302,2024-03-18,6079,Wellington
303,2024-01-15,4321,Leeds
304,2024-01-16,3965,Davao City
305,2024-02-04,5056,Bangkok
306,2024-04-11,7080,Kanpur
307,2024-05-12,8527,Chittagong
308,2024-02-03,2548,Vladivostok
309,2024-06-27,8868,Rabi Island
310,2024-04-17,9072,Antwerp
311,2024-04-24,3653,Campo Grande
312,2024-03-09,4464,Guatemala City
313,2024-02-16,6911,Edinburgh
314,2024-02-14,3692,Monterrey
315,2024-06-23,4560,Quezon City
316,2024-04-08,7796,Lomé
317,2024-05-06,6958,Quito
318,2024-04-29,7673,Gothenburg
319,2024-06-06,4137,Maracaibo
320,2024-06-19,5078,Yerevan
321,2024-05-28,4403,Cuiabá
322,2024-05-13,8382,Nairobi
323,2024-05-24,4033,Washington
324,2024-01-03,7340,Calgary
325,2024-02-06,4760,Chiang Mai
326,2024-03-22,7874,Harbin
327,2024-06-18,6520,Luxor
328,2024-03-08,7088,Cape Town
329,2024-05-17,4196,Raleigh
330,2024-05-14,2424,Chicago
331,2024-03-04,8108,Monrovia
332,2024-04-02,3368,Wuhan
333,2024-03-16,6904,Kaohsiung
334,2024-05-19,4366,Dar es Salaam
335,2024-03-28,2435,Sofia
336,2024-01-08,5697,Hobart
337,2024-01-19,8155,Ambon
338,2024-05-20,9713,Kanpur
339,2024-01-25,2058,Casablanca
340,2024-03-12,3422,Mashhad
341,2024-04-21,7450,Porto Alegre
342,2024-01-17,4834,Ilhéus
343,2024-02-15,2334,Porto-Novo
344,2024-01-14,5734,Manzini
345,2024-02-27,7330,Papeete
346,2024-01-10,3178,Lubumbashi
347,2024-01-13,8862,Adelaide
348,2024-05-09,2792,Dubai
349,2024-04-17,9294,Buenos Aires
350,2024-06-14,4754,Rabi Island
351,2024-01-02,7667,Okinawa
352,2024-04-25,7885,Raleigh
353,2024-04-08,5569,Bilbao
354,2024-01-30,5195,Nouakchott
355,2024-03-15,9044,Tunis
356,2024-05-09,6778,Tucson
357,2024-03-01,7059,Palembang
358,2024-06-04,8293,Saipan
359,2024-06-28,5775,Greenwich
360,2024-06-12,8276,Beirut
361,2024-06-20,2465,Kuching
362,2024-06-04,6597,El Paso
363,2024-04-25,2151,Castries
364,2024-02-07,7441,Lobamba
365,2024-04-04,5196,Valdivia
366,2024-04-15,6406,Khartoum
367,2024-02-24,3517,Turin
368,2024-05-08,2641,Albuquerque
369,2024-01-07,3239,Chuí
370,2024-03-10,2563,Apia
371,2024-01-21,3541,Wuhan
372,2024-03-30,9415,Banjul
373,2024-03-02,4673,Tripoli
374,2024-04-19,6021,Nukus
375,2024-02-17,2229,Marseille
376,2024-01-29,2091,Miami
377,2024-05-05,6260,Belize City
378,2024-06-21,8143,Chittagong
379,2024-02-05,8174,Durango
380,2024-04-03,6850,Wonsan
381,2024-01-24,3121,Hong Kong
382,2024-01-20,6402,Denpasar
383,2024-06-20,2992,Port Louis
384,2024-04-22,3485,Berlin
385,2024-02-13,6068,Quito
386,2024-01-21,2632,Damascus
387,2024-06-05,5627,Bogotá
388,2024-03-19,8640,Surat Thani
389,2024-05-21,4650,Kolkata
390,2024-04-15,2744,Kansas City
391,2024-03-24,2754,St. John's
392,2024-01-22,2817,Rochester
393,2024-03-18,5194,London
394,2024-04-20,9866,Kaohsiung
395,2024-01-26,9267,Sarajevo
396,2024-03-07,2958,Casablanca
397,2024-01-28,2567,Omsk
398,2024-02-10,5582,Tiraspol
399,2024-06-11,4049,Srinagar
400,2024-02-08,5214,Medan
401,2024-01-06,8701,Ljubljana
402,2024-06-21,8703,Baku
403,2024-01-05,5572,Kota Bharu
404,2024-04-17,9059,Podgorica
405,2024-06-14,8803,Gaza
406,2024-01-02,8579,Malacca Town
407,2024-04-25,8328,Davao City
408,2024-04-08,2756,Leipzig
409,2024-01-30,6854,Labasa
410,2024-03-15,4843,Enugu
411,2024-05-09,5144,Calgary
412,2024-02-01,8769,Porto
413,2024-01-23,7377,Malang
414,2024-05-19,3201,Moscow
415,2024-06-06,9441,Lomé
416,2024-02-17,6332,Shillong
417,2024-03-16,5885,Kathmandu
418,2024-05-18,8955,Sucre
419,2024-06-18,9342,Pago Pago
420,2024-04-28,2757,Hat Yai
421,2024-02-07,3700,Kingston
422,2024-05-22,6427,Amman
423,2024-02-05,6541,Pittsburgh
424,2024-05-13,7594,Johor Bahru
425,2024-06-09,6749,Weno
426,2024-06-06,3964,Aberdeen
427,2024-06-13,2145,Sofia
428,2024-06-27,3206,Jerusalem
429,2024-06-10,6998,Porto Alegre
430,2024-06-30,6898,Kathmandu
431,2024-06-09,6700,Casablanca
432,2024-06-25,3656,Tórshavn
433,2024-06-15,9716,Malé
434,2024-06-01,4830,Rawalpindi
435,2024-06-28,3640,Prague
436,2024-06-12,9690,Liverpool
437,2024-06-20,3061,Valencia
438,2024-06-04,2896,Chennai
439,2024-05-29,4047,Sarajevo
440,2024-06-20,9098,Rockhampton
441,2024-04-01,8332,London
442,2024-01-07,7605,Frankfurt
443,2024-02-02,2627,Cairo
444,2024-02-27,2466,Yakutsk
445,2024-01-13,2374,Fairbanks
446,2024-05-26,7174,Libreville
447,2024-01-20,6000,Porto Alegre
448,2024-04-22,3102,Kinshasa
449,2024-01-12,3892,Kota Kinabalu
450,2024-05-28,3259,Agartala
451,2024-02-15,3453,Adak
452,2024-02-04,9273,Ilhéus
453,2024-01-18,8262,Hiroshima
454,2024-04-17,3180,Cleveland
455,2024-06-14,7654,Charlotte
456,2024-01-02,8490,Fredericton
457,2024-04-25,9926,San Salvador
458,2024-04-08,7592,Brisbane
459,2024-01-30,7748,Wollongong
460,2024-03-15,5358,El Paso
461,2024-05-09,7835,Jamestown
462,2024-06-08,2275,Praia
463,2024-04-12,7557,Minneapolis
464,2024-04-11,3318,Seattle
465,2024-02-03,9556,Managua
466,2024-05-03,5819,Rome
467,2024-03-30,9571,Phnom Penh
468,2024-04-29,9824,Busan
469,2024-01-04,7461,Chongjin
470,2024-06-12,4059,Chihuahua
471,2024-03-14,8585,San Carlos de Bariloche
472,2024-03-27,9305,Townsville
473,2024-01-24,2815,Funafuti
474,2024-04-10,9839,Rawalpindi
475,2024-06-15,7564,Zamboanga City
476,2024-05-14,2271,Rio Branco
477,2024-03-05,6147,Townsville
478,2024-02-18,5645,Tucson
479,2024-06-22,2529,Manaus
480,2024-01-16,7937,Pune
481,2024-02-11,2020,Nanjing
482,2024-05-04,7027,Guatemala City
483,2024-02-19,2685,Ankara
484,2024-05-17,5787,Niamey
485,2024-03-26,2786,Ulan Bator
486,2024-04-27,7416,Las Palmas de Gran Canaria
487,2024-03-21,2756,Punta Arenas
488,2024-05-21,9146,Geelong
489,2024-04-15,7366,Oslo
490,2024-03-24,7026,Cape Town
491,2024-06-28,3641,Port Hedland
492,2024-06-12,8531,Shenyang
493,2024-06-20,2762,Veracruz
494,2024-06-04,9395,Hagåtña
495,2024-06-19,7802,Dunedin
496,2024-04-06,6703,Hong Kong
497,2024-04-14,8592,Xining
498,2024-05-02,4763,Geneva
499,2024-06-23,6111,Port Moresby
500,2024-05-05,6203,Gibraltar
501,2024-04-26,3318,Kota Bharu
502,2024-05-31,6986,Yokohama
503,2024-05-06,3475,Cairo
504,2024-03-11,5542,The Hague
505,2024-04-18,9081,Rawalpindi
506,2024-06-25,8878,Puebla
507,2024-03-28,8346,Ibiza
508,2024-06-27,5953,Gaborone
509,2024-05-20,7688,Sucre
510,2024-03-22,4102,Roseau
511,2024-03-23,6556,Caracas
512,2024-06-07,8740,Sarajevo
513,2024-02-16,9212,Assis
514,2024-03-12,4938,Ljubljana
515,2024-02-26,4127,Baku
516,2024-06-28,8366,Batticaloa
517,2024-02-22,7057,Birmingham
518,2024-05-14,3750,Oklahoma City
519,2024-05-21,7112,Albuquerque
520,2024-04-15,7827,Mbabane
521,2024-03-24,6112,Fort-de-France
522,2024-01-22,7329,Turin
523,2024-04-02,5824,Belize City
524,2024-06-16,9877,Sofia
525,2024-02-29,9759,Zanzibar City
526,2024-06-04,6779,Phoenix
527,2024-01-01,8765,Córdoba
528,2024-05-18,3948,Koror
529,2024-05-15,2234,Konya
530,2024-04-17,2795,Gangtok
531,2024-06-14,8306,Kraków
532,2024-01-02,3363,Douglas
533,2024-04-25,4806,Serekunda
534,2024-04-08,2894,Valparaíso
535,2024-01-30,6418,Hobart
536,2024-03-15,9905,Quito
537,2024-05-09,5799,Yangon
538,2024-04-23,3535,Seoul
539,2024-02-09,6626,Bursa
540,2024-05-08,3532,Belmopan
541,2024-05-12,3244,Podgorica
542,2024-01-29,8429,Harbin
543,2024-04-07,6169,Brazzaville
544,2024-05-10,8776,Kinshasa
545,2024-04-12,9776,Detroit
546,2024-06-27,4496,Islamabad
547,2024-01-29,6582,Ho Chi Minh City
548,2024-04-07,8858,Moroni
549,2024-05-10,6857,Adana
550,2024-04-12,8119,Padang
551,2024-06-27,5432,Anadyr (town)
552,2024-04-30,8085,Pago Pago
553,2024-03-09,6669,Ouagadougou
554,2024-01-09,3860,Malang
555,2024-03-17,2079,Pretoria
556,2024-05-11,5432,Juneau
557,2024-02-21,4128,Muscat
558,2024-05-21,8733,Da Nang
559,2024-06-03,7583,Tegucigalpa
560,2024-04-25,8474,Hiroshima
561,2024-06-01,5841,Omsk
562,2024-04-07,7263,Padang
563,2024-06-15,8834,Shigatse
564,2024-03-05,8360,Tokyo
565,2024-06-10,4201,Istanbul
566,2024-03-21,9467,Aarhus
567,2024-02-25,3147,Bulawayo
